fk_servidor;nomeMaquina;timestamp;cpu;ram;disco;temperatura_cpu;temperatura_disco;memoria_swap;quantidade_processos;download_bytes;upload_bytes;pacotes_recebidos;pacotes_enviados;dropin;dropout;numero_leituras;numero_escritas;bytes_lidos;bytes_escritos;tempo_leitura;tempo_escrita
6;DESKTOP-886AGFM;26/11/2025 15:39:20;10.10;81.60;90.50;49.92;36.12;492.57;278;975771572;39990588;757302;160777;0;0;404961;260199;13168949248;9594999296;473;116
6;DESKTOP-886AGFM;26/11/2025 15:39:25;28.60;83.20;90.50;51.37;35.42;490.82;280;975819154;40026945;757403;160876;0;0;405016;260377;13172996096;9601167872;473;117
6;DESKTOP-886AGFM;26/11/2025 15:39:29;26.40;82.90;90.50;52.12;34.60;490.82;280;975844505;40052741;757477;160955;0;0;405019;260466;13173114368;9602425344;473;117
6;DESKTOP-886AGFM;26/11/2025 15:39:33;27.60;82.80;90.50;54.88;35.57;490.82;280;975869455;40079572;757550;161038;0;0;405024;260578;13173270016;9603904000;473;117
6;DESKTOP-886AGFM;26/11/2025 15:39:38;27.00;82.80;90.50;53.32;36.86;484.76;280;975891064;40102066;757621;161109;0;0;405050;260647;13173843456;9604723200;473;117
6;DESKTOP-886AGFM;26/11/2025 15:39:42;27.10;82.70;90.50;52.95;35.32;484.76;280;986431336;40232309;765838;162147;0;0;405051;260687;13173859840;9605263872;473;117
6;DESKTOP-886AGFM;26/11/2025 15:39:46;23.10;82.70;90.50;50.30;36.77;484.76;280;986435132;40241763;765884;162194;0;0;405051;260710;13173859840;9605718528;473;117
6;DESKTOP-886AGFM;26/11/2025 15:39:51;24.00;82.90;90.50;50.53;35.85;484.76;280;986442895;40261230;765929;162266;0;0;405053;260754;13173868032;9606230528;473;117
6;DESKTOP-886AGFM;26/11/2025 15:39:55;18.80;82.60;90.50;46.96;36.08;484.76;278;986445135;40268159;765958;162304;0;0;405053;260782;13173868032;9606541824;473;117
6;DESKTOP-886AGFM;26/11/2025 15:39:59;23.60;82.70;90.50;50.60;34.57;484.76;278;986470965;40294840;766046;162399;0;0;405057;260815;13173925376;9607078400;473;117
6;DESKTOP-886AGFM;26/11/2025 15:40:04;23.40;82.70;90.50;52.18;34.30;484.76;278;998223897;40411022;775190;163483;0;0;405057;260861;13173925376;9607635456;473;117
6;DESKTOP-886AGFM;26/11/2025 15:40:08;24.40;82.80;90.50;52.09;35.43;484.76;278;998243487;40423265;775273;163559;0;0;405061;260892;13173998080;9608188416;473;117
6;DESKTOP-886AGFM;26/11/2025 15:40:12;20.40;82.80;90.50;49.11;35.33;484.76;278;998247605;40433116;775316;163608;0;0;405061;260918;13173998080;9608565248;473;117
6;DESKTOP-886AGFM;26/11/2025 15:40:17;27.60;82.70;90.50;49.56;34.34;484.76;276;998264947;40453745;775378;163671;0;0;405061;260970;13173998080;9609085440;473;117
