;time;precipitation;precipitation_probability;weather_code;temperature_2m;relative_humidity_2m;latitude;longitude;regiao
0;2025-11-19T00:00;0.0;0;0;8.6;53;35.6848662;139.7526407;4
1;2025-11-19T01:00;0.0;0;1;9.4;54;35.6848662;139.7526407;4
2;2025-11-19T02:00;0.0;0;1;10.4;50;35.6848662;139.7526407;4
3;2025-11-19T03:00;0.0;0;1;11.4;42;35.6848662;139.7526407;4
4;2025-11-19T04:00;0.0;0;1;12.0;39;35.6848662;139.7526407;4
5;2025-11-19T05:00;0.0;0;0;12.5;38;35.6848662;139.7526407;4
6;2025-11-19T06:00;0.0;0;0;12.6;35;35.6848662;139.7526407;4
7;2025-11-19T07:00;0.0;0;0;12.4;36;35.6848662;139.7526407;4
8;2025-11-19T08:00;0.0;0;0;11.4;46;35.6848662;139.7526407;4
9;2025-11-19T09:00;0.0;0;0;10.8;55;35.6848662;139.7526407;4
10;2025-11-19T10:00;0.0;0;0;10.4;54;35.6848662;139.7526407;4
11;2025-11-19T11:00;0.0;0;1;10.1;56;35.6848662;139.7526407;4
12;2025-11-19T12:00;0.0;0;0;9.4;59;35.6848662;139.7526407;4
13;2025-11-19T13:00;0.0;0;1;9.0;54;35.6848662;139.7526407;4
14;2025-11-19T14:00;0.0;0;1;8.2;57;35.6848662;139.7526407;4
15;2025-11-19T15:00;0.0;0;0;7.4;60;35.6848662;139.7526407;4
16;2025-11-19T16:00;0.0;0;1;7.1;62;35.6848662;139.7526407;4
17;2025-11-19T17:00;0.0;0;2;7.0;62;35.6848662;139.7526407;4
18;2025-11-19T18:00;0.0;10;3;7.1;62;35.6848662;139.7526407;4
19;2025-11-19T19:00;0.0;8;3;7.1;62;35.6848662;139.7526407;4
20;2025-11-19T20:00;0.0;8;3;7.1;63;35.6848662;139.7526407;4
21;2025-11-19T21:00;0.0;8;2;6.8;66;35.6848662;139.7526407;4
22;2025-11-19T22:00;0.0;8;2;7.1;61;35.6848662;139.7526407;4
23;2025-11-19T23:00;0.0;3;2;7.4;59;35.6848662;139.7526407;4
24;2025-11-20T00:00;0.0;0;1;8.4;56;35.6848662;139.7526407;4
25;2025-11-20T01:00;0.0;0;1;9.7;53;35.6848662;139.7526407;4
26;2025-11-20T02:00;0.0;0;1;10.9;50;35.6848662;139.7526407;4
27;2025-11-20T03:00;0.0;0;0;12.2;48;35.6848662;139.7526407;4
28;2025-11-20T04:00;0.0;0;0;12.9;49;35.6848662;139.7526407;4
29;2025-11-20T05:00;0.0;0;0;13.4;50;35.6848662;139.7526407;4
30;2025-11-20T06:00;0.0;0;0;13.4;50;35.6848662;139.7526407;4
31;2025-11-20T07:00;0.0;0;0;12.9;54;35.6848662;139.7526407;4
32;2025-11-20T08:00;0.0;0;0;12.0;66;35.6848662;139.7526407;4
33;2025-11-20T09:00;0.0;0;0;11.2;66;35.6848662;139.7526407;4
34;2025-11-20T10:00;0.0;0;0;10.6;65;35.6848662;139.7526407;4
35;2025-11-20T11:00;0.0;0;0;10.0;69;35.6848662;139.7526407;4
36;2025-11-20T12:00;0.0;0;0;9.6;73;35.6848662;139.7526407;4
37;2025-11-20T13:00;0.0;0;0;9.1;75;35.6848662;139.7526407;4
38;2025-11-20T14:00;0.0;0;0;8.4;76;35.6848662;139.7526407;4
39;2025-11-20T15:00;0.0;0;0;8.0;75;35.6848662;139.7526407;4
40;2025-11-20T16:00;0.0;0;0;7.6;74;35.6848662;139.7526407;4
41;2025-11-20T17:00;0.0;0;0;7.1;77;35.6848662;139.7526407;4
42;2025-11-20T18:00;0.0;0;0;6.7;77;35.6848662;139.7526407;4
43;2025-11-20T19:00;0.0;0;0;6.5;77;35.6848662;139.7526407;4
44;2025-11-20T20:00;0.0;0;0;6.2;79;35.6848662;139.7526407;4
45;2025-11-20T21:00;0.0;0;0;6.1;77;35.6848662;139.7526407;4
