;fk_servidor;nomeMaquina;timestamp;cpu;ram;disco;temperatura_cpu;temperatura_disco;memoria_swap;quantidade_processos;donwload_bytes;upload_bytes;pacotes_recebidos;pacotes_enviados;dropin;dropout;numero_leituras;numero_escritas;bytes_lidos;bytes_escritos;tempo_leitura;tempo_escrita
0;11;DESKTOP-G2ODTKO;2025-11-18 23:09:43;6.3;76.6;16.8;49.52;36.54;553.3;286;96753959;49504168;136448;96046;0;0;2916877;3101888;108168785408;69984845312;3271;8936
1;11;DESKTOP-G2ODTKO;2025-11-18 23:09:47;5.5;76.6;16.8;44.8;34.63;553.3;286;96755430;49513036;136465;96057;0;0;2916884;3101927;108169014784;69985422848;3271;8936
2;11;DESKTOP-G2ODTKO;2025-11-18 23:09:51;3.1;76.6;16.8;47.9;35.1;553.3;286;96756399;49513308;136474;96060;0;0;2916896;3101961;108169408000;69987737088;3271;8936
3;11;DESKTOP-G2ODTKO;2025-11-18 23:09:55;4.6;80.5;16.8;50.18;34.54;520.37;291;97027966;49637832;136825;96361;0;0;2917840;3102139;108192225792;69989477888;3272;8936
4;11;DESKTOP-G2ODTKO;2025-11-18 23:09:59;4.6;79.2;16.8;47.03;36.41;520.37;290;97091302;49710937;136978;96503;0;0;2918090;3102305;108198457344;69991465472;3272;8936
5;11;DESKTOP-G2ODTKO;2025-11-18 23:10:04;4.8;79.1;16.8;46.28;36.16;520.37;291;97143746;49723387;137071;96590;0;0;2918119;3102436;108199063552;69993226752;3272;8936
6;11;DESKTOP-G2ODTKO;2025-11-18 23:10:08;4.9;82.0;16.8;46.22;35.41;520.37;291;97632355;49796211;137601;96921;0;0;2918132;3102589;108199522304;69995663872;3272;8936
7;11;DESKTOP-G2ODTKO;2025-11-18 23:10:12;7.4;80.4;16.8;48.03;35.37;520.37;291;97787378;49813487;137799;97048;0;0;2918143;3102702;108199874560;69997810176;3272;8936
8;11;DESKTOP-G2ODTKO;2025-11-18 23:10:16;5.8;78.2;16.8;44.64;34.09;520.37;289;97788507;49814039;137812;97055;0;0;2918153;3102752;108200202240;69998641664;3272;8936
9;11;DESKTOP-G2ODTKO;2025-11-18 23:10:19;7.2;78.1;16.8;44.72;34.27;520.37;289;97789566;49814419;137824;97060;0;0;2918163;3102792;108200529920;69999161856;3272;8936
10;11;DESKTOP-G2ODTKO;2025-11-18 23:10:23;4.6;78.0;16.8;50.62;34.97;520.37;289;97798290;49821100;137857;97084;0;0;2918173;3102856;108200857600;70000906752;3272;8936
11;11;DESKTOP-G2ODTKO;2025-11-18 23:10:27;3.3;77.4;16.8;45.52;36.63;520.37;289;97800071;49821816;137876;97093;0;0;2918188;3102918;108201304064;70001476096;3272;8936
12;11;DESKTOP-G2ODTKO;2025-11-18 23:10:31;2.8;77.4;16.8;48.32;35.14;520.37;288;97802036;49823062;137894;97106;0;0;2918198;3102964;108201631744;70002278912;3272;8936
13;11;DESKTOP-G2ODTKO;2025-11-18 23:10:34;4.5;77.4;16.8;49.37;34.57;520.37;287;97802986;49823527;137905;97112;0;0;2918208;3103050;108201959424;70002897408;3272;8936
14;11;DESKTOP-G2ODTKO;2025-11-18 23:10:38;2.2;77.0;16.8;48.26;35.87;561.74;287;97877498;49829923;137947;97152;0;0;2918218;3103137;108202287104;70047556096;3272;8936
15;11;DESKTOP-G2ODTKO;2025-11-18 23:10:42;2.3;77.0;16.8;45.03;34.16;561.74;287;97881145;49837361;137965;97173;0;0;2918229;3103179;108202647552;70048383488;3272;8936
16;11;DESKTOP-G2ODTKO;2025-11-18 23:10:45;2.5;77.0;16.8;48.66;34.26;561.74;287;97882107;49837656;137975;97176;0;0;2918240;3103221;108202979328;70048850432;3272;8936
17;11;DESKTOP-G2ODTKO;2025-11-18 23:10:49;2.9;76.9;16.8;46.48;34.85;561.74;287;97883059;49838082;137985;97182;0;0;2918250;3103254;108203307008;70049300992;3272;8936
18;11;DESKTOP-G2ODTKO;2025-11-18 23:10:53;2.1;76.9;16.8;49.46;36.2;561.74;291;97883879;49838484;137994;97187;0;0;2918257;3103284;108203536384;70049890816;3272;8936
19;11;DESKTOP-G2ODTKO;2025-11-18 23:10:56;2.1;76.9;16.8;43.8;34.61;561.74;287;97884945;49839146;138006;97195;0;0;2918267;3103329;108203864064;70050456064;3272;8936
