fk_servidor;nomeMaquina;timestamp;cpu;ram;disco;temperatura_cpu;temperatura_disco;memoria_swap;quantidade_processos;download_bytes;upload_bytes;pacotes_recebidos;pacotes_enviados;dropin;dropout;numero_leituras;numero_escritas;bytes_lidos;bytes_escritos;tempo_leitura;tempo_escrita
2;DESKTOP-G2ODTKO;28/11/2025 23:24:34;6,50;72,80;15,80;44,78;34,41;284,21;278;16956453;11157037;23330;15858;0;0;1172147;1032696;42356336128;20895386112;1507;2871
2;DESKTOP-G2ODTKO;28/11/2025 23:24:41;7,90;75,80;15,80;50,41;35,32;283,84;278;16967509;11190618;23369;15878;0;0;1172153;1032843;42356463104;20925798912;1507;2872
2;DESKTOP-G2ODTKO;28/11/2025 23:24:48;7,70;70,50;15,90;45,96;35,30;250,68;271;16978468;11192695;23409;15902;0;0;1172900;1033833;42378882048;21219825152;1508;2873
2;DESKTOP-G2ODTKO;28/11/2025 23:24:54;6,80;70,50;15,80;51,20;36,69;250,68;270;17003191;11196331;23512;15926;0;0;1173219;1034038;42386022400;21240817152;1508;2874
2;DESKTOP-G2ODTKO;28/11/2025 23:25:01;7,30;70,60;15,80;46,79;36,24;250,68;269;17012694;11219900;23573;15966;0;0;1174142;1034470;42407033344;21264627200;1508;2874
2;DESKTOP-G2ODTKO;28/11/2025 23:25:08;6,90;70,60;15,80;44,82;36,62;250,68;269;17021332;11220437;23590;15974;0;0;1175245;1034601;42429350912;21265716736;1509;2874
2;DESKTOP-G2ODTKO;28/11/2025 23:25:14;5,30;70,80;15,80;49,65;36,29;250,68;269;17027197;11220980;23609;15982;0;0;1175493;1034747;42440565760;21266626048;1509;2874
2;DESKTOP-G2ODTKO;28/11/2025 23:25:21;2,70;70,20;15,80;49,01;35,26;250,68;269;17045457;11235332;23658;16027;0;0;1175507;1034850;42440871936;21267576832;1510;2875
2;DESKTOP-G2ODTKO;28/11/2025 23:25:27;4,80;71,90;15,80;46,13;34,95;223,95;273;17076708;11265138;23735;16098;0;0;1175763;1034906;42446141952;21268045824;1510;2876
2;DESKTOP-G2ODTKO;28/11/2025 23:25:34;9,90;72,20;15,80;49,71;35,13;223,95;273;17141575;11320848;23868;16223;0;0;1176319;1035065;42467771392;21270256640;1510;2877
2;DESKTOP-G2ODTKO;28/11/2025 23:25:42;32,10;71,70;15,80;54,53;35,56;223,95;273;17226168;11343133;23948;16275;0;0;1176352;1035382;42468738048;21276711936;1510;2878
2;DESKTOP-G2ODTKO;28/11/2025 23:25:48;74,70;71,20;15,80;64,24;36,57;223,85;272;17241715;11350700;23982;16299;0;0;1176357;1035458;42468795904;21277453312;1510;2879
2;DESKTOP-G2ODTKO;28/11/2025 23:25:54;74,50;71,20;15,80;63,12;36,08;223,85;272;17251929;11352359;24008;16317;0;0;1176366;1035526;42469125120;21278268416;1511;2880
